{Benchmark},{Base No. Threads},{Est. Base Run Time},{Est. Base Ratio},{Base Selected},{Base Status},{Peak No. Threads},{Est. Peak Run Time},{Est. Peak Ratio},{Peak Selected},{Peak Status},{Description}
{600.perlbench},{1},{3089.858816},{0.57446},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{602.gcc},{1},{3379.177616},{1.178393},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{605.mcf},{1},{3224.655324},{1.464032},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{620.omnetpp},{1},{2603.996697},{0.626345},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{623.xalancbmk},{1},{1651.058947},{0.858237},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{625.x264},{1},{2926.205982},{0.602828},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{631.deepsjeng},{1},{2442.950705},{0.586586},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{641.leela},{1},{3175.88502},{0.537173},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{648.exchange2},{1},{2213.645544},{1.328126},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
{657.xz},{1},{8919.126393},{0.693117},{1},{S},{},{},{},{},{},{refspeed(ref) iteration No.1}
