# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:ppp'
# Event count (approx.): 7488323981209
#
# Overhead  Command     Shared Object        Symbol                                        
# ........  ..........  ...................  ..............................................
#
     6.15%  translator  perf-32205.map       [.] src_0x33d2d4
     2.02%  translator  translator           [.] lookup_cache_entry
     1.53%  translator  perf-32205.map       [.] src_0x265614
     1.34%  translator  perf-32205.map       [.] src_0x2657f8
     1.30%  translator  perf-32205.map       [.] src_0x36548c
     1.24%  translator  perf-32205.map       [.] src_0x365484
     1.24%  translator  perf-32205.map       [.] context_switch_save
     1.23%  translator  perf-32205.map       [.] src_0x36549c
     1.11%  translator  perf-32205.map       [.] context_switch_load_execute
     1.06%  translator  perf-32205.map       [.] src_0x1f6f4
     0.93%  translator  perf-32205.map       [.] src_0x36547c
     0.92%  translator  perf-32205.map       [.] src_0x365494
     0.84%  translator  perf-32205.map       [.] src_0x164710
     0.79%  translator  translator           [.] transcode_loop
     0.79%  translator  perf-32205.map       [.] src_0x265644
     0.77%  translator  perf-32205.map       [.] src_0x265810
     0.73%  translator  perf-32205.map       [.] src_0x26572c
     0.64%  translator  perf-32205.map       [.] src_0x16471c
     0.61%  translator  perf-32205.map       [.] src_0x26588c
     0.60%  translator  perf-32205.map       [.] src_0x26581c
     0.60%  translator  perf-32205.map       [.] src_0x265750
     0.57%  translator  perf-32205.map       [.] src_0x2658e0
     0.54%  translator  perf-32205.map       [.] src_0x2658a8
     0.54%  translator  perf-32205.map       [.] src_0x164728
     0.53%  translator  perf-32205.map       [.] src_0x265670
     0.51%  translator  perf-32205.map       [.] src_0x265664
     0.50%  translator  perf-32205.map       [.] src_0x33d2f0
     0.49%  translator  perf-32205.map       [.] src_0x265740
     0.45%  translator  perf-32205.map       [.] src_0x265884
     0.44%  translator  perf-32205.map       [.] src_0x2655f8
     0.44%  translator  perf-32205.map       [.] src_0x364b98
     0.44%  translator  perf-32205.map       [.] src_0x265650
     0.42%  translator  perf-32205.map       [.] src_0x265600
     0.39%  translator  perf-32205.map       [.] src_0x1646fc
     0.38%  translator  perf-32205.map       [.] src_0x265864
     0.35%  translator  perf-32205.map       [.] src_0x26566c
     0.35%  translator  perf-32205.map       [.] src_0x2658f8
     0.33%  translator  perf-32205.map       [.] src_0x2658d8
     0.32%  translator  perf-32205.map       [.] src_0x265608
     0.32%  translator  perf-32205.map       [.] src_0x2658a0
     0.30%  translator  perf-32205.map       [.] src_0x3b6a24
     0.29%  translator  perf-32205.map       [.] src_0x2658c4
