# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:ppp'
# Event count (approx.): 17436254619585
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     1.50%  translator  perf-32261.map     [.] src_0x13540
     1.32%  translator  perf-32261.map     [.] src_0x21478
     0.95%  translator  perf-32261.map     [.] src_0x13474
     0.82%  translator  perf-32261.map     [.] src_0x133f4
     0.62%  translator  perf-32261.map     [.] src_0x134f0
     0.55%  translator  perf-32261.map     [.] src_0x17c68
     0.49%  translator  perf-32261.map     [.] src_0x135c4
     0.45%  translator  perf-32261.map     [.] src_0x20c00
     0.43%  translator  perf-32261.map     [.] src_0x17770
     0.42%  translator  perf-32261.map     [.] src_0x178a4
     0.40%  translator  perf-32261.map     [.] src_0x21120
     0.37%  translator  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.36%  translator  perf-32261.map     [.] src_0x173e4
     0.36%  translator  perf-32261.map     [.] src_0x134fc
     0.36%  translator  perf-32261.map     [.] src_0x1bd10
     0.36%  translator  perf-32261.map     [.] src_0x10e28
     0.33%  translator  perf-32261.map     [.] src_0x17738
     0.31%  translator  perf-32261.map     [.] src_0x1a188
     0.31%  translator  perf-32261.map     [.] src_0x218a0
     0.30%  translator  perf-32261.map     [.] src_0x1350c
     0.30%  translator  perf-32261.map     [.] src_0x13510
     0.29%  translator  perf-32261.map     [.] src_0x1095c
     0.29%  translator  perf-32261.map     [.] src_0x10850
     0.29%  translator  perf-32261.map     [.] src_0x17764
     0.29%  translator  perf-32261.map     [.] src_0x10c44
     0.28%  translator  perf-32261.map     [.] src_0x20f0c
     0.28%  translator  perf-32261.map     [.] src_0x17454
     0.28%  translator  perf-32261.map     [.] src_0x17730
     0.28%  translator  perf-32261.map     [.] src_0x1330c
     0.27%  translator  perf-32261.map     [.] src_0x17768
     0.27%  translator  perf-32261.map     [.] src_0x19504
     0.27%  translator  perf-32261.map     [.] src_0x1775c
     0.27%  translator  perf-32261.map     [.] src_0x17f94
     0.27%  translator  perf-32261.map     [.] src_0x1c6bc
     0.27%  translator  perf-32261.map     [.] src_0x186d0
     0.27%  translator  [kernel.kallsyms]  [k] native_irq_return_iret
     0.26%  translator  perf-32261.map     [.] src_0x17760
     0.26%  translator  perf-32261.map     [.] src_0x20ca4
     0.26%  translator  perf-32261.map     [.] src_0x19e94
     0.25%  translator  perf-32261.map     [.] src_0x17e28
     0.25%  translator  perf-32261.map     [.] src_0x17758
     0.25%  translator  perf-32261.map     [.] src_0x1776c
     0.25%  translator  perf-32261.map     [.] src_0x1c694
     0.25%  translator  perf-32261.map     [.] src_0x1b60c
     0.24%  translator  perf-32261.map     [.] src_0x1814c
     0.24%  translator  perf-32261.map     [.] src_0x13a30
     0.23%  translator  perf-32261.map     [.] src_0x1c3b8
     0.23%  translator  perf-32261.map     [.] src_0x17fc8
     0.23%  translator  perf-32261.map     [.] src_0x2135c
     0.23%  translator  perf-32261.map     [.] src_0x19e0c
     0.23%  translator  perf-32261.map     [.] src_0x189e8
     0.23%  translator  perf-32261.map     [.] src_0x176cc
     0.23%  translator  perf-32261.map     [.] src_0x181e4
     0.22%  translator  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.22%  translator  perf-32261.map     [.] src_0x1c6a8
     0.22%  translator  perf-32261.map     [.] src_0x1936c
     0.22%  translator  perf-32261.map     [.] src_0x10f68
     0.22%  translator  perf-32261.map     [.] src_0x13354
     0.22%  translator  perf-32261.map     [.] src_0x1949c
     0.22%  translator  perf-32261.map     [.] src_0x1947c
     0.21%  translator  perf-32261.map     [.] src_0x194f0
     0.21%  translator  perf-32261.map     [.] src_0x109e4
     0.21%  translator  perf-32261.map     [.] src_0x181ec
