# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:ppp'
# Event count (approx.): 17266751320924
#
# Overhead  Command     Shared Object        Symbol                                        
# ........  ..........  ...................  ..............................................
#
     3.89%  translator  translator           [.] lookup_cache_entry
     2.36%  translator  perf-29433.map       [.] context_switch_load_execute
     2.17%  translator  translator           [.] execute_cached
     2.16%  translator  perf-29433.map       [.] context_switch_save
     1.91%  translator  translator           [.] find_lin_slot
     1.80%  translator  translator           [.] transcode_loop
     1.60%  translator  translator           [.] get_value
     1.31%  translator  perf-29433.map       [.] src_0x95ae8
     1.21%  translator  translator           [.] execute_in_guest_context
     1.13%  translator  translator           [.] smallhash
     0.77%  translator  perf-29433.map       [.] src_0x95a68
     0.69%  translator  perf-29433.map       [.] src_0x2a3960
     0.68%  translator  translator           [.] chain
     0.66%  translator  perf-29433.map       [.] src_0x1a9fe8
     0.65%  translator  perf-29433.map       [.] src_0x181990
     0.58%  translator  translator           [.] set_tlb
     0.57%  translator  perf-29433.map       [.] src_0x115810
     0.49%  translator  perf-29433.map       [.] src_0x193640
     0.48%  translator  perf-29433.map       [.] src_0x1a0f78
     0.47%  translator  translator           [.] get_gp_reg_file
     0.45%  translator  translator           [.] hash
     0.43%  translator  perf-29433.map       [.] src_0x95b20
     0.43%  translator  perf-29433.map       [.] src_0x2d5c8
     0.41%  translator  perf-29433.map       [.] src_0x2a2128
     0.40%  translator  perf-29433.map       [.] src_0x1947fc
     0.39%  translator  perf-29433.map       [.] src_0x19f404
     0.38%  translator  perf-29433.map       [.] src_0x2dee4
     0.38%  translator  perf-29433.map       [.] src_0x35b6c
     0.38%  translator  perf-29433.map       [.] src_0x26302c
     0.37%  translator  perf-29433.map       [.] src_0x95a80
     0.37%  translator  perf-29433.map       [.] src_0x35b54
     0.37%  translator  perf-29433.map       [.] src_0x95a9c
     0.36%  translator  perf-29433.map       [.] src_0x95ad0
     0.34%  translator  perf-29433.map       [.] src_0x263098
     0.34%  translator  perf-29433.map       [.] src_0x35b20
     0.33%  translator  perf-29433.map       [.] src_0x2a3978
     0.33%  translator  perf-29433.map       [.] src_0x262fe8
     0.33%  translator  perf-29433.map       [.] src_0x137878
     0.32%  translator  perf-29433.map       [.] src_0x3610c
     0.32%  translator  perf-29433.map       [.] src_0x263a2c
     0.31%  translator  perf-29433.map       [.] src_0x262e80
     0.31%  translator  perf-29433.map       [.] src_0x2630b8
     0.31%  translator  perf-29433.map       [.] src_0x2630d0
     0.30%  translator  perf-29433.map       [.] src_0x141330
     0.29%  translator  perf-29433.map       [.] src_0x2630dc
     0.29%  translator  perf-29433.map       [.] src_0x1a0fe0
     0.29%  translator  perf-29433.map       [.] src_0x262498
     0.29%  translator  perf-29433.map       [.] src_0x1a0ff0
     0.29%  translator  perf-29433.map       [.] src_0x95a20
     0.28%  translator  perf-29433.map       [.] src_0x361dc
     0.28%  translator  perf-29433.map       [.] src_0x193664
     0.28%  translator  perf-29433.map       [.] src_0x263a60
     0.27%  translator  perf-29433.map       [.] src_0x137870
     0.27%  translator  perf-29433.map       [.] src_0x50dd4
     0.27%  translator  perf-29433.map       [.] src_0x17d294
     0.26%  translator  perf-29433.map       [.] src_0x9f430
     0.26%  translator  perf-29433.map       [.] src_0x2624c8
     0.26%  translator  perf-29433.map       [.] src_0x2d5d0
     0.26%  translator  perf-29433.map       [.] src_0x262ee8
     0.26%  translator  perf-29433.map       [.] src_0x1a1050
     0.26%  translator  perf-29433.map       [.] src_0x13d300
     0.25%  translator  perf-29433.map       [.] src_0x263230
     0.25%  translator  perf-29433.map       [.] src_0x95834
     0.25%  translator  perf-29433.map       [.] src_0x262eb4
     0.25%  translator  perf-29433.map       [.] src_0x17be28
     0.25%  translator  perf-29433.map       [.] src_0x9dec0
     0.25%  translator  perf-29433.map       [.] src_0x50de8
     0.24%  translator  perf-29433.map       [.] src_0x141350
     0.24%  translator  perf-29433.map       [.] src_0x69578
     0.24%  translator  perf-29433.map       [.] src_0x2a3974
     0.24%  translator  perf-29433.map       [.] src_0x262ef0
     0.24%  translator  perf-29433.map       [.] src_0x95a90
     0.24%  translator  perf-29433.map       [.] src_0x17d35c
     0.23%  translator  perf-29433.map       [.] src_0x13db7c
     0.23%  translator  perf-29433.map       [.] src_0x19491c
     0.23%  translator  perf-29433.map       [.] src_0x50da4
     0.23%  translator  perf-29433.map       [.] src_0x95a7c
     0.23%  translator  perf-29433.map       [.] src_0x361f0
     0.23%  translator  perf-29433.map       [.] src_0x194918
     0.23%  translator  perf-29433.map       [.] src_0x1a10cc
     0.23%  translator  perf-29433.map       [.] src_0x194828
     0.22%  translator  perf-29433.map       [.] src_0x137844
     0.22%  translator  perf-29433.map       [.] src_0x603b8
     0.22%  translator  perf-29433.map       [.] src_0x1a10bc
     0.22%  translator  perf-29433.map       [.] src_0x262ef4
     0.22%  translator  perf-29433.map       [.] src_0x50d7c
     0.22%  translator  perf-29433.map       [.] src_0x263f0
     0.22%  translator  perf-29433.map       [.] src_0x26398
     0.22%  translator  perf-29433.map       [.] src_0x1947d8
     0.22%  translator  perf-29433.map       [.] src_0x4d54c
     0.22%  translator  perf-29433.map       [.] src_0x193710
     0.21%  translator  perf-29433.map       [.] src_0x194808
     0.21%  translator  perf-29433.map       [.] src_0x193798
     0.21%  translator  perf-29433.map       [.] src_0xf01a0
     0.21%  translator  perf-29433.map       [.] src_0x361d4
     0.21%  translator  perf-29433.map       [.] src_0x194834
     0.21%  translator  perf-29433.map       [.] src_0x95870
     0.21%  translator  perf-29433.map       [.] src_0x50de4
     0.21%  translator  perf-29433.map       [.] src_0x262eb8
     0.21%  translator  perf-29433.map       [.] src_0x3624c
     0.21%  translator  perf-29433.map       [.] src_0x27068
     0.21%  translator  perf-29433.map       [.] src_0x17d30c
     0.21%  translator  perf-29433.map       [.] src_0x17bde8
     0.20%  translator  perf-29433.map       [.] src_0x2630c8
     0.20%  translator  perf-29433.map       [.] src_0x35b48
     0.20%  translator  perf-29433.map       [.] src_0x2624a4
     0.20%  translator  perf-29433.map       [.] src_0x36240
