# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7M of event 'cycles:ppp'
# Event count (approx.): 12004087673020
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
    45.80%  translator  perf-14114.map     [.] src_0x217a8
     9.09%  translator  perf-14114.map     [.] src_0x25b34
     5.83%  translator  perf-14114.map     [.] src_0x21540
     4.03%  translator  perf-14114.map     [.] src_0x24d0c
     3.35%  translator  perf-14114.map     [.] src_0x2044c
     2.67%  translator  perf-14114.map     [.] src_0x26260
     2.20%  translator  perf-14114.map     [.] src_0x2b0a8
     2.01%  translator  translator         [.] lookup_cache_entry
     1.71%  translator  perf-14114.map     [.] src_0x25d80
     1.55%  translator  perf-14114.map     [.] src_0x25530
     1.54%  translator  perf-14114.map     [.] src_0x34b54
     1.32%  translator  perf-14114.map     [.] src_0x24188
     1.18%  translator  perf-14114.map     [.] context_switch_save
     1.00%  translator  translator         [.] execute_cached
     1.00%  translator  perf-14114.map     [.] src_0x24d04
     0.96%  translator  translator         [.] transcode_loop
     0.90%  translator  perf-14114.map     [.] src_0x25900
     0.82%  translator  perf-14114.map     [.] src_0x18940
     0.80%  translator  translator         [.] get_value
     0.71%  translator  perf-14114.map     [.] src_0x26f88
     0.66%  translator  perf-14114.map     [.] src_0x34924
     0.64%  translator  perf-14114.map     [.] src_0x20154
     0.60%  translator  perf-14114.map     [.] src_0x25f30
     0.58%  translator  perf-14114.map     [.] src_0x214dc
     0.58%  translator  translator         [.] smallhash
     0.51%  translator  perf-14114.map     [.] src_0x34f44
     0.50%  translator  perf-14114.map     [.] src_0x34cb4
     0.48%  translator  perf-14114.map     [.] src_0x347f8
     0.48%  translator  perf-14114.map     [.] src_0x2b35c
     0.45%  translator  translator         [.] chain
     0.43%  translator  perf-14114.map     [.] src_0x2445c
     0.41%  translator  perf-14114.map     [.] src_0x21ba4
     0.40%  translator  translator         [.] execute_in_guest_context
     0.33%  translator  perf-14114.map     [.] src_0x35154
     0.31%  translator  perf-14114.map     [.] src_0x28820
     0.28%  translator  perf-14114.map     [.] src_0x26c30
     0.27%  translator  perf-14114.map     [.] src_0x27204
     0.27%  translator  perf-14114.map     [.] src_0x24eec
     0.24%  translator  perf-14114.map     [.] src_0x21624
     0.22%  translator  perf-14114.map     [.] src_0x2688c
     0.19%  translator  perf-14114.map     [.] src_0x1a0c8
     0.19%  translator  perf-14114.map     [.] src_0x28ebc
     0.19%  translator  perf-14114.map     [.] src_0x2b2c8
     0.18%  translator  perf-14114.map     [.] src_0x21998
     0.13%  translator  perf-14114.map     [.] src_0x532cc
     0.13%  translator  perf-14114.map     [.] src_0x27e34
     0.12%  translator  translator         [.] get_gp_reg_file
     0.10%  translator  perf-14114.map     [.] src_0x27cdc
     0.10%  translator  perf-14114.map     [.] src_0x27b80
     0.10%  translator  perf-14114.map     [.] src_0x28b20
     0.09%  translator  perf-14114.map     [.] src_0x57370
     0.08%  translator  perf-14114.map     [.] src_0x27e58
     0.08%  translator  perf-14114.map     [.] src_0x22af4
     0.08%  translator  perf-14114.map     [.] src_0x24660
     0.08%  translator  perf-14114.map     [.] src_0x282f8
     0.06%  translator  perf-14114.map     [.] src_0x27adc
     0.05%  translator  perf-14114.map     [.] src_0x156f4
     0.05%  translator  [kernel.kallsyms]  [k] prepare_exit_to_usermode
     0.05%  translator  perf-14114.map     [.] src_0x28364
     0.05%  translator  perf-14114.map     [.] src_0x78874
     0.05%  translator  perf-14114.map     [.] src_0x24b20
     0.04%  translator  perf-14114.map     [.] src_0x2a0bc
     0.04%  translator  [kernel.kallsyms]  [k] native_irq_return_iret
     0.03%  translator  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.03%  translator  perf-14114.map     [.] src_0x26010
     0.03%  translator  perf-14114.map     [.] src_0x21e2c
     0.02%  translator  perf-14114.map     [.] src_0x472d0
     0.02%  translator  perf-14114.map     [.] src_0x249e4
     0.02%  translator  perf-14114.map     [.] src_0x27d20
     0.02%  translator  perf-14114.map     [.] src_0x106e8
     0.02%  translator  [kernel.kallsyms]  [k] _raw_spin_lock
     0.02%  translator  perf-14114.map     [.] src_0x279c8
     0.02%  translator  perf-14114.map     [.] src_0x292b0
     0.02%  translator  perf-14114.map     [.] src_0x2122c
     0.02%  translator  [kernel.kallsyms]  [k] error_entry
     0.02%  translator  perf-14114.map     [.] src_0x28754
     0.01%  translator  perf-14114.map     [.] src_0x27298
     0.01%  translator  perf-14114.map     [.] src_0x283f0
     0.01%  translator  [kernel.kallsyms]  [k] sync_regs
     0.01%  translator  perf-14114.map     [.] src_0x4d5d4
     0.01%  translator  perf-14114.map     [.] src_0x27fac
     0.01%  translator  perf-14114.map     [.] src_0x27a20
     0.01%  translator  [kernel.kallsyms]  [k] update_blocked_averages
     0.01%  translator  perf-14114.map     [.] src_0x294bc
     0.01%  translator  [kernel.kallsyms]  [k] clear_page_erms
     0.01%  translator  perf-14114.map     [.] src_0x2645c
     0.01%  translator  perf-14114.map     [.] src_0x73064
     0.01%  translator  [kernel.kallsyms]  [k] native_write_msr
     0.01%  translator  [kernel.kallsyms]  [k] run_timer_softirq
     0.01%  translator  [kernel.kallsyms]  [k] get_page_from_freelist
     0.01%  translator  [kernel.kallsyms]  [k] __handle_mm_fault
     0.01%  translator  perf-14114.map     [.] src_0x2a754
     0.01%  translator  [kernel.kallsyms]  [k] release_pages
     0.01%  translator  translator         [.] find_lin_slot
     0.01%  translator  [kernel.kallsyms]  [k] try_charge
     0.01%  translator  perf-14114.map     [.] src_0x27180
     0.01%  translator  perf-14114.map     [.] src_0x25a88
     0.00%  translator  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.00%  translator  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.00%  translator  perf-14114.map     [.] src_0x533a8
     0.00%  translator  [kernel.kallsyms]  [k] irq_exit
     0.00%  translator  [kernel.kallsyms]  [k] trigger_load_balance
     0.00%  translator  perf-14114.map     [.] src_0x20240
     0.00%  translator  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.00%  translator  [kernel.kallsyms]  [k] handle_mm_fault
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_try_charge
     0.00%  translator  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%  translator  perf-14114.map     [.] src_0x33d94
     0.00%  translator  perf-14114.map     [.] src_0x295bc
     0.00%  translator  [kernel.kallsyms]  [k] __do_page_fault
     0.00%  translator  perf-14114.map     [.] src_0x17c10
     0.00%  translator  [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  translator  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.00%  translator  [kernel.kallsyms]  [k] lapic_next_deadline
     0.00%  translator  [kernel.kallsyms]  [k] tick_sched_timer
     0.00%  translator  [kernel.kallsyms]  [k] read_tsc
     0.00%  translator  [kernel.kallsyms]  [k] __mod_node_page_state
     0.00%  translator  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.00%  translator  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.00%  translator  [kernel.kallsyms]  [k] unmap_page_range
     0.00%  translator  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  translator  [kernel.kallsyms]  [k] ktime_get
     0.00%  translator  [kernel.kallsyms]  [k] page_remove_rmap
     0.00%  translator  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.00%  translator  [kernel.kallsyms]  [k] __lru_cache_add
     0.00%  translator  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.00%  translator  perf-14114.map     [.] src_0x1e568
     0.00%  translator  [kernel.kallsyms]  [k] down_read_trylock
     0.00%  translator  [kernel.kallsyms]  [k] vmacache_find
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.00%  translator  [kernel.kallsyms]  [k] find_busiest_group
     0.00%  translator  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  translator  perf-14114.map     [.] src_0x2093c
     0.00%  translator  [kernel.kallsyms]  [k] page_fault
     0.00%  translator  [kernel.kallsyms]  [k] alloc_pages_vma
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.00%  translator  [kernel.kallsyms]  [k] up_read
     0.00%  translator  [kernel.kallsyms]  [k] xhci_irq
     0.00%  translator  [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  translator  translator         [.] set_tlb
     0.00%  translator  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  translator  translator         [.] hash
     0.00%  translator  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.00%  translator  [kernel.kallsyms]  [k] cpuacct_account_field
     0.00%  translator  [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  translator  [kernel.kallsyms]  [k] rcu_process_callbacks
     0.00%  translator  [kernel.kallsyms]  [k] page_counter_try_charge
     0.00%  translator  [kernel.kallsyms]  [k] free_unref_page_list
     0.00%  translator  [kernel.kallsyms]  [k] account_user_time
     0.00%  translator  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.00%  translator  [kernel.kallsyms]  [k] decay_load
     0.00%  translator  [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.00%  translator  perf-14114.map     [.] src_0x22248
     0.00%  translator  [kernel.kallsyms]  [k] free_unref_page_commit
     0.00%  translator  [kernel.kallsyms]  [k] get_task_policy.part.31
     0.00%  translator  [kernel.kallsyms]  [k] note_gp_changes
     0.00%  translator  perf-14114.map     [.] src_0x21924
     0.00%  translator  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.00%  translator  [kernel.kallsyms]  [k] uncharge_page
     0.00%  translator  [kernel.kallsyms]  [k] pmd_devmap_trans_unstable
     0.00%  translator  [kernel.kallsyms]  [k] update_cfs_group
     0.00%  translator  [kernel.kallsyms]  [k] switch_to_thread_stack
     0.00%  translator  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  translator  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  translator  [kernel.kallsyms]  [k] __inc_numa_state
     0.00%  translator  [kernel.kallsyms]  [k] cpu_load_update
     0.00%  translator  [kernel.kallsyms]  [k] native_iret
     0.00%  translator  [kernel.kallsyms]  [k] pfn_pte
     0.00%  translator  [kernel.kallsyms]  [k] pmd_pfn
